City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Praia da Vitoria,40,PT,1520902800,87,38.73,-27.07,16.0,14.61
Khani,0,GE,1520904600,61,41.96,42.96,10.0,8.7
Batken,56,KG,1520907048,98,40.06,70.82,6.02,1.71
Hamilton,90,BM,1520906100,93,32.3,-64.78,19.0,12.3
Nicolas Bravo,5,MX,1520905440,12,24.39,-104.74,24.0,2.51
La Ronge,20,CA,1520902800,44,55.1,-105.3,5.0,2.6
Tarakan,24,ID,1520907051,84,3.3,117.63,29.67,1.06
Annau,90,TM,1520902800,93,37.89,58.52,7.0,4.1
Baruun-Urt,36,MN,1520907052,64,46.68,113.28,1.77,5.61
Zeya,0,RU,1520907052,52,53.74,127.27,-8.43,1.66
Tunceli,0,TR,1520902200,82,39.11,39.55,2.0,2.1
Sarangani,0,PH,1520907053,94,5.4,125.46,28.97,4.01
Bumba,48,CD,1520907055,95,2.18,22.47,22.57,1.81
Santa Cruz,75,US,1520904900,87,36.97,-122.03,17.0,3.1
Padang,88,ID,1520907057,100,-0.92,100.36,28.77,1.51
Shiyan,0,CN,1520907057,67,32.65,110.78,18.77,1.31
Mount Isa,0,AU,1520904600,31,-20.73,139.49,31.0,5.7
Wajima,0,JP,1520902800,41,37.4,136.9,14.0,6.7
Poso,8,ID,1520907058,100,-1.4,120.75,27.62,2.11
West Wendover,1,US,1520902560,30,40.74,-114.07,14.0,2.1
Palazzolo Acreide,0,IT,1520904000,71,37.06,14.9,11.0,3.6
Virden,0,CA,1520907059,59,49.85,-100.93,-15.18,1.26
Batemans Bay,56,AU,1520907059,85,-35.71,150.18,19.22,0.56
Kindu,44,CD,1520907060,97,-2.95,25.92,21.92,0.96
Mar del Plata,8,AR,1520906979,58,-46.43,-67.52,12.77,6.71
Namatanai,92,PG,1520907060,100,-3.66,152.44,28.32,5.56
Punta Arenas,75,CL,1520906400,70,-53.16,-70.91,6.0,5.1
Saint-Francois,75,FR,1520904600,75,46.42,3.91,7.0,5.1
Ganzhou,12,CN,1520907062,57,25.86,114.93,23.47,2.51
Chokurdakh,56,RU,1520907062,67,70.62,147.9,-30.28,3.01
Misratah,36,LY,1520907062,97,32.38,15.09,13.77,3.46
Goryachegorsk,12,RU,1520907063,66,55.41,88.92,-18.73,1.31
Pacific Grove,90,US,1520904900,87,36.62,-121.92,16.0,2.1
Saint Anthony,1,US,1520902560,56,43.97,-111.68,9.0,2.6
Warwick,90,US,1520905260,69,41.7,-71.42,5.0,7.7
Am Timan,64,TD,1520907064,26,11.04,20.28,25.22,2.26
Albacete,20,ES,1520902800,87,39.0,-1.86,6.0,3.1
Mount Gambier,48,AU,1520907017,64,-37.83,140.78,19.77,2.46
Broken Hill,0,AU,1520907065,34,-31.97,141.45,25.57,6.36
Mitzic,20,GA,1520907065,97,0.78,11.55,22.52,0.91
Hithadhoo,44,MV,1520906869,100,-0.6,73.08,28.27,2.91
Neftcala,92,AZ,1520907066,100,39.37,49.25,3.47,3.56
Turayf,0,SA,1520902800,53,31.68,38.65,10.0,3.1
Uvalde,1,US,1520905860,43,29.21,-99.79,14.0,2.6
Halvad,0,IN,1520907067,65,23.02,71.18,19.52,1.71
Severo-Kurilsk,44,RU,1520907068,100,50.68,156.12,-3.63,3.01
East London,0,ZA,1520907068,97,-33.02,27.91,22.42,9.31
Aztec,1,US,1520902380,50,36.82,-107.99,11.0,3.1
Keuruu,90,FI,1520905800,96,62.26,24.71,0.0,2.6
Poum,36,MK,1520907069,92,41.28,20.71,4.22,1.16
Sistranda,40,NO,1520902200,92,63.73,8.83,-3.0,2.6
Medea,20,DZ,1520904600,81,36.27,2.77,9.0,2.1
Port Keats,32,AU,1520907070,84,-14.25,129.55,29.12,7.36
San Juan de Colon,20,VE,1520906400,45,8.03,-72.26,30.0,7.7
Hargeysa,0,SO,1520907071,82,9.56,44.06,12.32,1.76
Alyangula,92,AU,1520907071,97,-13.85,136.42,29.52,7.06
Port Blair,20,IN,1520907072,100,11.67,92.75,28.77,5.01
Ballina,0,IE,1520907072,97,54.11,-9.15,0.47,2.86
Hangu,75,PK,1520904600,59,33.53,71.06,18.0,3.1
San Quintin,20,PH,1520902800,51,17.54,120.52,27.0,1.0
Avera,1,US,1520904900,56,33.19,-82.53,10.0,4.6
Almaznyy,0,RU,1520907073,83,48.03,40.04,-12.38,4.76
Iqaluit,90,CA,1520902800,84,63.75,-68.52,-14.0,1.5
Walvis Bay,0,NA,1520902800,87,-22.95,14.51,15.0,4.81
Kuala Selangor,75,MY,1520902800,83,3.34,101.25,27.0,0.76
Viedma,0,AR,1520907074,63,-40.81,-62.99,13.87,6.16
Bethel,1,US,1520902380,78,60.79,-161.76,-9.0,3.1
Calama,0,CL,1520906400,16,-22.46,-68.93,15.0,3.6
Kirovsk,88,RU,1520907075,85,67.62,33.66,-8.93,1.01
Chabahar,0,IR,1520907076,100,25.29,60.65,21.52,5.21
Baiyin,0,CN,1520902800,30,36.55,104.13,6.0,2.0
Cap-aux-Meules,75,CA,1520902800,92,47.38,-61.86,-1.0,5.1
Hofn,92,IS,1520906940,100,64.25,-15.21,2.27,11.61
Busselton,32,AU,1520906931,69,-33.64,115.35,27.37,5.56
Faya,0,SA,1520902800,87,18.39,42.45,11.0,0.71
Borogontsy,0,RU,1520907077,59,62.67,131.17,-19.08,1.71
Kamaishi,75,JP,1520902800,64,39.28,141.86,3.0,1.0
Muros,75,ES,1520904600,100,42.77,-9.06,5.0,3.6
Carnarvon,0,ZA,1520907078,45,-30.97,22.13,9.42,1.31
Tambovka,12,UA,1520907079,86,46.93,35.45,-0.93,7.06
Castro,92,CL,1520907079,79,-42.48,-73.76,11.27,2.66
Lyaskelya,92,RU,1520907080,96,61.77,31.02,0.57,4.56
Ayna,20,ES,1520902800,87,38.55,-2.07,6.0,3.1
Kingsport,90,US,1520904900,69,36.55,-82.56,3.0,3.1
Tuktoyaktuk,90,CA,1520902800,84,69.44,-133.03,-14.0,4.6
Payo,44,ID,1520907084,91,-3.75,103.64,27.97,2.11
Kahului,75,US,1520902560,78,20.89,-156.47,22.0,7.7
Sorland,88,NO,1520906897,100,67.67,12.69,2.27,4.31
Fort Abbas,0,PK,1520907085,66,29.19,72.85,19.62,3.36
Sol-Iletsk,0,RU,1520907085,67,51.16,55.0,-20.23,3.66
Valkeakoski,90,FI,1520905800,95,61.26,24.03,0.0,2.6
Den Chai,0,TH,1520902800,100,17.98,100.06,23.0,1.21
Bloemfontein,0,ZA,1520902800,77,-29.12,26.22,16.0,3.6
Rikitea,68,PF,1520907086,100,-23.12,-134.97,26.67,6.01
Adrar,0,DZ,1520902800,11,27.87,-0.29,19.0,7.2
Saint George,20,GR,1520902200,62,39.45,22.34,13.0,6.2
Nha Trang,0,VN,1520907087,80,12.24,109.19,26.02,4.31
Geraldton,90,CA,1520902800,72,49.72,-86.95,-9.0,4.1
Itarema,88,BR,1520907088,90,-2.92,-39.92,25.72,2.11
Thinadhoo,48,MV,1520907089,100,0.53,72.93,28.12,2.41
Kamina,92,CD,1520907089,99,-8.74,25.0,19.42,1.66
Barrow,44,AR,1520906983,69,-38.31,-60.23,17.12,7.61
Nome,1,US,1520904900,66,30.04,-94.42,14.0,2.66
Cacu,8,BR,1520907090,89,-18.56,-51.13,23.02,1.36
Muleba,88,TZ,1520907090,100,-1.84,31.66,19.07,1.96
Korhogo,76,CI,1520907091,82,9.46,-5.63,24.42,5.71
Namanyere,64,TZ,1520907091,98,-7.51,31.05,14.62,1.01
Guderup,92,DK,1520905800,100,54.99,9.87,7.0,2.6
Blagoveshchensk,20,RU,1520904600,73,50.29,127.53,-6.0,1.0
Christchurch,100,NZ,1520904600,63,-43.53,172.64,17.0,7.2
Norman Wells,20,CA,1520902800,62,65.28,-126.83,-5.0,1.41
Belyy Yar,0,RU,1520904600,64,53.6,91.39,-20.0,2.0
Airai,56,TL,1520907038,71,-8.93,125.41,27.27,1.06
Saint-Malo,90,FR,1520904600,93,48.65,-2.02,9.0,4.6
Aksarka,36,RU,1520907094,70,66.56,67.8,-16.93,4.01
Nara,20,JP,1520904600,58,34.68,135.8,13.0,2.1
Zalantun,0,CN,1520907095,86,48.0,122.72,0.32,2.36
Tura,8,IN,1520907096,75,25.52,90.21,20.12,2.06
Plettenberg Bay,0,ZA,1520907040,95,-34.05,23.37,21.87,3.86
Cayenne,75,GF,1520906400,74,4.94,-52.33,27.0,4.1
Olbia,40,IT,1520904000,58,40.92,9.49,13.0,10.8
Dingle,36,PH,1520907097,89,11.0,122.67,25.97,6.51
Kibuye,24,RW,1520907098,100,-2.07,29.35,13.32,0.41
Srandakan,8,ID,1520907098,80,-7.94,110.25,28.82,1.86
Ribeira Grande,36,PT,1520906988,95,38.52,-28.7,17.27,14.21
Mahina,20,ML,1520907099,28,13.76,-10.85,26.07,4.16
Dossor,0,KZ,1520907099,75,47.52,52.98,-15.88,3.76
Torbay,90,CA,1520905980,100,47.66,-52.73,-1.0,10.3
Kaoma,20,ZM,1520907100,94,-14.8,24.8,18.27,2.96
Lang Suan,20,TH,1520902800,94,9.95,99.07,24.0,2.01
Maragogi,8,BR,1520906908,88,-9.01,-35.22,25.72,5.01
Caraquet,90,CA,1520902800,80,47.79,-64.94,-1.0,1.5
Juba,88,EE,1520905800,93,57.82,26.93,3.0,4.1
Baixa Grande,64,BR,1520907102,97,-11.96,-40.17,21.57,1.01
Carauari,64,BR,1520906817,94,-4.88,-66.9,25.97,1.06
Msanga,75,TZ,1520902800,100,-6.04,36.03,19.0,1.31
Bandarbeyla,92,SO,1520907103,100,9.49,50.81,25.47,2.36
Lorengau,76,PG,1520907103,100,-2.02,147.27,27.37,5.31
Lumajang,76,ID,1520907103,100,-8.14,113.22,25.62,2.41
Tagusao,80,PH,1520907104,83,9.19,117.81,27.77,4.11
Gamba,0,CN,1520907104,77,28.28,88.52,-10.33,2.71
Leh,76,IN,1520907105,82,34.16,77.58,-18.53,0.41
Barcelos,90,PT,1520904600,93,41.53,-8.62,10.0,5.7
Sur,0,OM,1520907060,92,22.57,59.53,23.67,3.91
Aguada de Pasajeros,80,CU,1520906340,88,22.38,-80.85,26.0,3.1
Trelew,0,AR,1520906974,30,-43.25,-65.31,14.62,9.31
Tubmanburg,88,LR,1520907106,98,6.87,-10.82,23.77,1.46
Finschhafen,92,PG,1520907106,100,-6.6,147.85,24.17,1.06
Litovko,20,RU,1520907106,71,49.24,135.18,-0.53,1.51
Koslan,92,RU,1520907107,86,63.46,48.9,-5.93,3.31
Tateyama,0,JP,1520902800,28,36.66,137.31,15.0,5.7
Baker City,1,US,1520903220,40,44.77,-117.83,14.0,5.1
Qaanaaq,44,GL,1520906993,100,77.48,-69.36,-23.63,1.56
Gornja Koprivna,8,BA,1520907108,81,45.01,15.95,2.07,0.96
Luanda,20,AO,1520902800,83,-8.83,13.24,25.0,1.0
Yarmouth,80,GB,1520905800,81,50.71,-1.5,7.0,3.6
Basoko,68,CD,1520907109,99,1.23,23.61,21.87,1.66
Bafq,8,IR,1520907109,64,31.6,55.4,6.87,1.96
Byron Bay,75,AU,1520904600,61,-28.65,153.62,27.0,7.2
Bemidji,1,US,1520904900,73,47.48,-94.89,-3.0,5.7
Kanker,0,IN,1520907110,39,20.27,81.49,28.07,1.96
Male,36,UA,1520907110,90,50.74,33.7,-2.73,7.46
Port Elizabeth,90,US,1520904240,97,39.31,-74.98,3.0,4.1
Praxedis Guerrero,40,MX,1520905860,31,31.37,-106.02,17.0,2.1
Zhigansk,68,RU,1520907111,81,66.77,123.37,-20.38,2.21
Fujin,88,CN,1520907111,94,47.24,132.03,-0.53,2.56
Coihaique,20,CL,1520906400,70,-45.58,-72.07,7.0,1.5
Zhanaozen,0,KZ,1520907037,74,43.35,52.85,-7.33,2.61
Rio Cuarto,0,AR,1520906400,45,-33.13,-64.35,19.0,4.1
Barra do Garcas,68,BR,1520906841,95,-15.89,-52.26,22.47,1.41
Grindavik,0,IS,1520906400,79,63.84,-22.43,-1.0,6.2
Phangnga,12,TH,1520904600,69,8.45,98.53,28.0,1.5
Venado Tuerto,20,AR,1520907113,59,-33.75,-61.97,17.62,4.61
Qeshm,20,IR,1520902800,82,26.96,56.27,21.0,2.1
Bilibino,20,RU,1520907114,52,68.06,166.44,-28.33,1.41
Luena,20,AO,1520907015,95,-11.78,19.91,16.57,1.51
Saquena,36,PE,1520907114,98,-4.67,-73.52,23.77,1.21
Shenjiamen,0,CN,1520907115,86,29.96,122.3,14.72,6.06
Lipin Bor,92,RU,1520907115,93,60.26,37.97,-2.28,8.36
Payson,40,US,1520904900,53,40.04,-111.73,12.0,3.6
Alofi,75,NU,1520906400,70,-19.06,-169.92,30.0,5.7
Alihe,0,CN,1520907116,58,50.57,123.73,-1.38,1.61
Xiaolingwei,0,CN,1520902800,55,32.03,118.85,18.0,1.0
Winchester,80,GB,1520902200,87,51.06,-1.31,7.0,4.6
Puerto Madryn,0,AR,1520907117,72,-42.77,-65.04,16.42,13.01
Madison,1,US,1520905980,78,43.07,-89.38,1.0,2.1
Guerrero Negro,0,MX,1520906964,77,27.97,-114.04,18.37,6.36
Grand Gaube,40,MU,1520902800,74,-20.01,57.66,27.0,7.2
Russkaya Polyana,32,RU,1520907118,75,53.78,73.88,-19.38,2.41
Vardo,1,US,1520905980,92,39.62,-77.74,2.0,2.6
Port Perry,90,CA,1520905440,92,44.1,-78.95,-1.0,2.6
Noyabrsk,80,RU,1520907119,82,63.2,75.45,-14.53,6.46
Clyde River,90,CA,1520902800,82,70.47,-68.59,-28.0,1.5
Hasaki,20,JP,1520904600,58,35.73,140.83,15.0,1.0
Arraial do Cabo,0,BR,1520902800,94,-22.97,-42.02,23.0,2.1
Lauria,92,IT,1520907120,100,40.05,15.84,7.12,2.46
Torzhok,88,RU,1520907120,95,57.04,34.97,0.32,8.81
Anadyr,90,RU,1520904600,76,64.73,177.51,-20.0,5.0
Bogovina,75,RS,1520904600,87,43.9,21.94,9.0,1.0
Krutikha,20,RU,1520907122,53,53.96,81.21,-20.13,1.36
Grootfontein,0,NA,1520907084,79,-19.56,18.1,18.87,3.01
Auki,0,NG,1520907122,49,12.18,6.51,15.62,1.21
Baghdad,0,IQ,1520902800,58,33.3,44.38,14.0,1.5
Gillette,1,US,1520905980,74,44.29,-105.5,-1.0,1.5
Porto Novo,75,BR,1520906400,88,-23.68,-45.44,23.0,1.5
Oussouye,0,SN,1520902800,88,12.49,-16.54,23.0,1.0
Saldanha,92,PT,1520907124,100,41.42,-6.55,6.27,1.51
Faanui,80,PF,1520906973,100,-16.48,-151.75,27.47,5.11
Sisimiut,88,GL,1520907124,78,66.94,-53.67,-14.23,0.61
Maningrida,88,AU,1520907125,94,-12.05,134.23,27.72,7.06
Eenhana,44,NA,1520907125,66,-17.48,16.34,22.72,4.46
Narsaq,0,GL,1520905800,67,60.91,-46.05,-6.0,1.91
Broome,92,GB,1520904480,93,52.47,1.45,5.0,4.6
Newport,0,GB,1520905800,93,51.59,-3.0,6.0,4.1
Inhambane,8,MZ,1520907034,97,-23.87,35.38,24.92,5.61
Noshiro,75,JP,1520902800,84,40.21,140.05,2.0,0.5
Santa Maria,0,BR,1520902800,87,-29.69,-53.81,14.0,1.0
Wanaka,0,NZ,1520907128,41,-44.7,169.14,12.32,3.16
Atuona,64,PF,1520906976,100,-9.8,-139.03,26.87,7.36
Lompoc,90,US,1520905140,93,34.64,-120.46,18.0,2.6
Puerto Ayora,92,EC,1520907129,100,-0.74,-90.35,25.12,1.41
Mackenzie,1,CA,1520902800,39,55.34,-123.09,8.0,0.51
Constitucion,5,MX,1520905440,12,23.99,-104.67,24.0,4.51
Wenchi,68,GH,1520907130,95,7.74,-2.1,22.37,4.56
Awallan,24,PH,1520907131,72,17.92,121.91,25.92,1.66
Port-Gentil,68,GA,1520907132,98,-0.72,8.78,27.22,1.66
Maracacume,100,BR,1520906909,84,-2.04,-45.96,25.57,2.86
Perene,20,PE,1520907133,95,-10.95,-75.23,20.22,0.86
Micheweni,88,TZ,1520907133,100,-4.97,39.83,26.72,0.96
Methoni,20,GR,1520904000,81,36.82,21.7,11.0,10.26
Nikolskoye,90,RU,1520904600,100,59.7,30.79,1.0,3.0
Waipawa,8,NZ,1520907134,66,-39.94,176.59,20.07,9.41
Mayor Pablo Lagerenza,8,PY,1520907134,92,-19.93,-60.77,24.82,2.66
Skibotn,0,NO,1520905800,92,69.39,20.27,-10.0,1.0
Souillac,20,FR,1520904600,87,45.6,-0.6,7.0,4.6
Leningradskiy,12,RU,1520907005,96,69.38,178.42,-22.33,5.71
Dunedin,56,NZ,1520906954,52,-45.87,170.5,13.97,6.36
Nantucket,40,US,1520903040,100,41.28,-70.1,4.0,10.3
Chitipa,92,MW,1520907136,99,-9.7,33.27,15.27,1.21
Mao,20,DO,1520906400,88,19.55,-71.08,23.0,3.6
Point Fortin,20,TT,1520902800,78,10.16,-61.68,25.0,2.1
Tiksi,8,RU,1520907137,76,71.64,128.87,-31.88,1.96
Kodiak,1,US,1520902380,44,39.95,-94.76,3.0,3.6
Mehamn,80,NO,1520907137,91,71.03,27.85,-2.88,7.76
Jamestown,0,AU,1520907137,92,-33.21,138.6,19.07,3.46
Sterling,90,US,1520905980,80,39.0,-77.4,4.0,5.1
Pangnirtung,64,CA,1520907129,73,66.15,-65.72,-17.53,0.86
Vestmannaeyjar,88,IS,1520907138,97,63.44,-20.27,1.22,7.61
Nyurba,32,RU,1520907138,55,63.29,118.35,-16.03,1.66
Poykovskiy,68,RU,1520904600,65,61.23,73.33,-15.0,5.0
Puri,92,ID,1520907139,82,-7.54,112.45,25.27,1.81
Cabedelo,40,BR,1520906400,83,-6.97,-34.84,26.0,1.5
Yilan,0,TW,1520904600,53,24.75,121.75,24.0,1.0
Cefalu,56,IT,1520907140,83,38.04,14.02,10.27,3.86
Aykhal,44,RU,1520907140,73,65.95,111.51,-24.43,2.91
Rocha,8,UY,1520906848,89,-34.48,-54.34,11.72,1.66
Concepcion,36,CO,1520907141,91,9.56,-73.66,24.72,1.06
Georgetown,40,GY,1520906400,94,6.8,-58.16,23.0,3.1
Paros,88,FR,1520907142,98,44.39,3.51,2.97,3.81
Vaini,0,IN,1520907143,49,15.34,74.49,24.37,2.41
Prabumulih,48,ID,1520907143,84,-3.5,104.19,28.72,2.21
Bowen,90,AU,1520902800,61,-20.01,148.25,28.0,9.8
Hervey Bay,80,AU,1520907144,97,-25.3,152.85,25.32,6.26
Northam,75,GB,1520905800,87,51.04,-4.21,8.0,4.1
Sola,90,FI,1520905800,100,62.78,29.36,-2.0,3.6
Krasnovishersk,76,RU,1520907144,80,60.4,57.08,-15.63,4.26
Puerto Escondido,40,MX,1520901600,78,15.86,-97.07,26.0,1.5
Kavaratti,0,IN,1520907138,100,10.57,72.64,28.62,2.61
